QCODEID,MCODE,LCODE,RID,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,QCODE,CONTINUING,SITECODE,DESCRIPTION
4181,MA,1,,,08-Nov-2005,08-Nov-2005,D,4153,N,T06,14:00 to 15:00: resent DLD program to logger with correct number of cycles i.e 150 for CS616.  All sensors now on-line.
4182,MA,1,,,14-Nov-2005,14-Nov-2005,D,4154,N,T06,"10:00 to 11:00: cleaned net-radiometer, albedo sensors, wetness sensor and solar panel.  Changed wick to wet bulb thermistor and topped up reservoir."
4183,MA,1,,WETTMP,15-Nov-2005,18-Nov-2005,R,4155,N,T06,Wet bulb reading higher than dry bulb during the hours of 16:00 to 22:00 inclusive 15- to 17-Nov-2005.  18-Nov-2005 11:00 to 12:00 found wet bulb wick to be dry.  Topped up reservoir and wetted wick making sure it was fully inserted into wick inlet of reservoir.
4184,MA,1,,,21-Nov-2005,21-Nov-2005,D,4156,N,T06,"14:00 to 15:00: grass cut, cleaned rain gauge"
4185,MA,1,,,05-Dec-2005,05-Dec-2005,D,4157,N,T06,"10:00 to 11:00: cleaned surfaces of net-radiometer, albedo sensors, wetness sensor, rain gauge and solar panel. Topped up reservoir of wet bulb thermometer."
4730,MA,1,,,05-Jan-2006,05-Jan-2006,D,4311,N,T06,15:00 to 16:00 cleaned aerial sensors except rain gauge.
4731,MA,1,,,09-Feb-2006,09-Feb-2006,D,4312,N,T06,10:00 to 12:00 servicing of AWS by Mike Stroud (CEH Wallingford).
4732,MA,1,,,15-Feb-2006,15-Feb-2006,D,4313,N,T06,11:00 to 12:00 servicing of net-radiometer and wet/dry bulb screen by Mike Stroud (CEH Wallingford).
4733,MA,1,,,03-Apr-2006,03-Apr-2006,D,4314,N,T06,09:00 to 10:00 changed wick to wet bulb and topped up reservoir with distilled water.
4734,MA,1,,,04-Apr-2006,04-Apr-2006,D,4315,N,T06,08:00 to 09:00 pyranometer- replaced silica gel; cleaned domes and radiation shield.
4735,MA,1,,,04-May-2006,04-May-2006,D,4316,N,T06,08:00 to 09:00 cleaned aerial sensors except rain gauge.
4736,MA,1,,,05-Jun-2006,05-Jun-2006,D,4317,N,T06,"10:00 to 11:00 cleaned net-radiometer, albedos, rain gauge, solar panel; changed wet bulb wick and topped up reservoir."
4737,MA,1,,,20-Jun-2006,20-Jun-2006,D,4318,N,T06,09:00 to 11:00 grass was cut around ECN AWS.
4738,MA,1,,,18-Sep-2006,18-Sep-2006,D,4319,N,T06,13:00 to 14:00 changed wick to wet bulb and topped up reservoir with distilled water.
4949,MA,1,,,16-Oct-2006,16-Oct-2006,D,4344,N,T06,"09:00 to 10:00 : Cleaned rain gauge, albedo sensors, wetness sensor and net-radiometer with de-ionised water."
4950,MA,1,,,10-Nov-2006,10-Nov-2006,D,4345,N,T06,10:00 to 11:00 : Cut grass around instruments.
4951,MA,1,,,18-Dec-2006,18-Dec-2006,D,4346,N,T06,"10:00 to 11:00 : Cleaned albedo sensors, wetness sensor, net-radiometer and solar radiometer with de-ionised water.  Changed silica gel to both net-radiometer and solar radiometer."
4952,MA,1,,,22-Jan-2007,22-Jan-2007,D,4347,N,T06,10:00 to 11:00: Changed wet-bulb wick.
5412,MA,1,,,23-Apr-2007,23-Apr-2007,D,4458,N,T06,"09:00 to 10:00 - cleaned net radiometer, albedo sky and ground, solar panel"
5414,MA,1,,,22-May-2007,22-May-2007,D,4460,N,T06,14:00 to 15:00 - measurements lost due to failed attempt to install new wind sensors
5413,MA,1,,WETTMP,04-Jun-2007,04-Jun-2007,D,4459,N,T06,09:00 to 10:00 - replaced wet bulb wick
5415,MA,1,,,05-Jun-2007,05-Jun-2007,D,4461,N,T06,14:00 to 15:00 - measurements lost due to the installation of new wind sensors - old wind sensors decommissioned
5416,MA,1,,,25-Jun-2007,25-Jun-2007,D,4462,N,T06,14:00 to 15:00 - replaced silica gel to net-radiometer and Kipp solarimeter; cleaned all aerial sensors
5417,MA,1,,,28-Jun-2007,28-Jun-2007,D,4463,N,T06,10:00 to 11:00 - cut grass around AWS
5418,MA,1,,,24-Sep-2007,24-Sep-2007,D,4459,N,T06,09:00 to 10:00 - replaced wet bulb wick
5588,MA,1,,,26-Nov-2007,26-Nov-2007,D,4499,N,T06,10:00 to 11:00 : Cut grass around masts.
5589,MA,1,,,03-Dec-2007,03-Dec-2007,D,4500,N,T06,09:00 to 10:00 : cleaned aerial sensors on main mast and rain gauge.
6528,MA,1,,,14-Jan-2008,14-Jan-2008,D,4645,N,T06,10:00 to 11:00 : cleaned aerial sensors and changed wet bulb wick.
6529,MA,1,,,18-Feb-2008,18-Feb-2008,D,4646,N,T06,14:00 to 15:00 : cleaned pyranometer and replaced silica gel to pyranometer and net radiometer
6228,MA,1,,RAIN,21-Apr-2008,21-Apr-2008,R,4598,N,T06,"Raingauge filter blocked with a little water in funnel, removed filter allowing water to enter gauge and cleaned it. Blockage seems to have occurred approximately 19:00 21-Apr-2008, some water was able to drip through though.
Have therefore removed rainfall data from 1900 21-Apr-2008 to 1000 22-Apr-2008."
6229,MA,1,,,28-Apr-2008,28-Apr-2008,D,4599,N,T06,09:00 to 10:00 : Cleaned net-radiometer and albedo sky/ground sensors.
6230,MA,1,,,12-May-2008,12-May-2008,D,4600,N,T06,09:00 to 10:00 : Changed wet bulb wick.
